Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
06-0100419,01/10/2006 01:42:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,13,Tuesday,400 Block W FERRY ST,Buffalo,NY,POINT (-78.885 42.916),42.916,-78.885,,,14213,Elmwood Bidwell,NIAGARA,NIAGARA,65.01,3,3005,65.01,3,3005,District D,006501,36029006501,360290001103,360290034003005
11-1430886,05/23/2011 08:10:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Monday,300 Block WOODLAWN AV,Buffalo,NY,POINT (-78.851 42.914),42.914,-78.851,10/10/2019 07:18:00 PM,,14208,Masten Park,MASTEN,MASTEN,33.02,3,3006,33.02,3,3006,District C,003302,36029003302,360290001103,360290163003006
08-3600090,12/25/2008 02:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Thursday,1 Block ST & CONNECTICUT ST,Buffalo,NY,POINT (-78.893 42.913),42.913,-78.893,,,14213,West Side,NIAGARA,NIAGARA,69.01,3,3001,69.01,3,3001,District B,006901,36029006901,360290001103,360290071043001
07-1891202,07/08/2007 11:30:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Sunday,MOSELLE ST & NORTHLAND AV,Buffalo,NY,POINT (-78.799 42.93),42.93,-78.799,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,44.02,1,1003,44.02,1,1000,District E,004402,36029004402,360290001101,360290035021003
09-3600709,12/26/2009 09:50:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Saturday,600 Block TONAWANDA ST,Buffalo,NY,POINT (-78.902 42.947),42.947,-78.902,12/27/2009 01:02:00 AM,,14207,Riverside,NORTH,NORTH,57,2,2005,57,2,2005,District D,005700,36029005700,360290001102,360290011002005
07-1640830,06/13/2007 06:36:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,18,Wednesday,100 Block GREY,Buffalo,NY,POINT (-78.85 42.894),42.894,-78.85,,,14212,Broadway Fillmore,ELLICOTT,ELLICOTT,166,4,4012,166,4,4008,District C,016600,36029016600,360290002004,360290036004012
10-0980810,04/08/2010 10:23:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Thursday,100 Block PLAYTER ST,Buffalo,NY,POINT (-78.835 42.89),42.89,-78.835,,,14212,Broadway Fillmore,FILLMORE,FILLMORE,16.01,1,1015,16,3,3004,District C,001601,36029001601,360290001101,360290027031015
06-2660123,09/23/2006 02:43:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Saturday,300 Block WILLIAM ST,Buffalo,NY,POINT (-78.858 42.885),42.885,-78.858,,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,14.04,2,2003,14.02,4,4004,District B,001404,36029001404,360290001102,360290170002003
07-0340130,02/03/2007 03:38:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Saturday,3200 Block UNION RD,Buffalo,NY,POINT (-78.849 42.917),42.917,-78.849,,,14208,Hamlin Park,MASTEN,MASTEN,33.01,3,3002,33.01,3,3002,District E,003301,36029003301,360290001103,360290071043002
08-1880038,07/06/2008 12:22:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Sunday,COLLINGWOOD AV & BAILEY AV,Buffalo,NY,POINT (-78.814 42.935),42.935,-78.814,,,14215,Kensington-Bailey,MASTEN,MASTEN,42,2,2000,42,2,2000,District E,004200,36029004200,360290001102,360290046012000
11-2040693,07/23/2011 02:30:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,14,Saturday,2300 Block FILLMORE AV,Buffalo,NY,POINT (-78.839 42.937),42.937,-78.839,,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.03,3,3003,40.01,3,3003,District E,004003,36029004003,360290001103,360290054003003
11-1520494,06/01/2011 12:56:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Wednesday,400 Block CLINTON ST,Buffalo,NY,POINT (-78.856 42.882),42.882,-78.856,10/10/2019 07:18:00 PM,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,14.04,1,1002,14.02,2,2002,District B,001404,36029001404,360290001101,360290001101002
08-2230085,08/10/2008 01:35:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Sunday,1 Block BIRCH PL,Buffalo,NY,POINT (-78.83 42.923),42.923,-78.83,,,14215,Delavan Grider,MASTEN,MASTEN,170,3,3009,170,2,2003,District E,017000,36029017000,360290001103,360290011003009
10-2101024,07/29/2010 09:04:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Thursday,S PARK AV & ALABAMA ST,Buffalo,NY,POINT (-78.861 42.871),42.871,-78.861,,,14204,First Ward,FILLMORE,FILLMORE,5,1,1012,5,1,1010,District A,000500,36029000500,360290001101,360290027031012
09-2380936,08/26/2009 09:46:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Wednesday,1400 Block E DELAVAN AV,Buffalo,NY,POINT (-78.803 42.922),42.922,-78.803,,,14215,Schiller Park,LOVEJOY,LOVEJOY,38,1,1003,38,1,1003,District E,003800,36029003800,360290001101,360290035021003
09-2720971,09/29/2009 10:18:00 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Tuesday,MEMORIAL DR & CLARK ST,Buffalo,NY,POINT (-78.836 42.887),42.887,-78.836,10/01/2009 01:00:00 AM,,14206,Broadway Fillmore,FILLMORE,FILLMORE,16.02,1,1029,16,4,4010,District C,001602,36029001602,360290001101,360290005001029
12-0400819,02/09/2012 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Thursday,100 Block DEERFIELD AV,Buffalo,NY,POINT (-78.829 42.918),42.918,-78.829,,,14215,Delavan Grider,MASTEN,MASTEN,34,5,5017,34,5,5019,District E,003400,36029003400,360290007005,360290034005017
06-3220094,11/18/2006 02:11:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Saturday,500 Block HERTEL AV,Buffalo,NY,POINT (-78.887 42.947),42.947,-78.887,,,14207,West Hertel,NORTH,NORTH,56,3,3008,56,3,3010,District D,005600,36029005600,360290001103,360290055003008
10-2060116,07/25/2010 01:45:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Sunday,WALDEN AV & STEWART AV,Buffalo,NY,POINT (-78.802 42.907),42.907,-78.802,,,14211,Schiller Park,LOVEJOY,LOVEJOY,30,2,2000,30,2,2000,District C,003000,36029003000,360290001102,360290046012000
06-1940393,07/13/2006 11:57:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,11,Thursday,800 Block SYCAMORE ST,Buffalo,NY,POINT (-78.841 42.897),42.897,-78.841,,,14212,Broadway Fillmore,FILLMORE,FILLMORE,166,2,2004,166,2,2005,District C,016600,36029016600,360290001102,360290165002004
09-0080610,01/08/2009 05:30:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Thursday,1 Block HILL ST,Buffalo,NY,POINT (-78.831 42.933),42.933,-78.831,,,14214,Fillmore-Leroy,MASTEN,MASTEN,39.01,1,1017,39.01,1,1011,District E,003901,36029003901,360290001101,360290165001017
11-3100181,11/06/2011 03:37:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,JEFFERSON AV & GENESEE ST,Buffalo,NY,POINT (-78.854 42.896),42.896,-78.854,10/10/2019 07:15:00 PM,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,25.02,3,3009,25.02,2,2008,District B,002502,36029002502,360290001103,360290011003009
07-0490167,02/18/2007 04:26:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,4,Sunday,ELMWOOD AV & W DELAVAN AV,Buffalo,NY,POINT (-78.877 42.922),42.922,-78.877,,,14222,Elmwood Bidwell,DELAWARE,DELAWARE,63.01,2,2007,63.01,2,2007,District D,006301,36029006301,360290001102,360290163002007
10-1020798,04/12/2010 08:23:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Monday,400 Block ELMWOOD AV,Buffalo,NY,POINT (-78.878 42.908),42.908,-78.878,,,14222,Elmwood Bryant,ELLICOTT,NIAGARA,67.01,2,2004,67.01,3,3004,District B,006701,36029006701,360290001102,360290165002004
06-2480928,09/05/2006 08:30:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Tuesday,BURLINGTON AV & OLYMPIC AV,Buffalo,NY,POINT (-78.818 42.932),42.932,-78.818,,,14215,Kensington-Bailey,MASTEN,MASTEN,42,3,3001,42,3,3001,District E,004200,36029004200,360290001103,360290071043001
11-0880530,03/29/2011 03:54:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,15,Tuesday,1 Block SUSAN LA,Buffalo,NY,POINT (-78.81 42.834),42.834,-78.81,,,14220,South Park,SOUTH,SOUTH,7,4,4005,7,4,4005,District A,000700,36029000700,360290002004,360290002004005
07-3520020,12/18/2007 12:34:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Tuesday,1 Block NAVEL AV,Buffalo,NY,POINT (-78.813 42.918),42.918,-78.813,,,14211,Schiller Park,LOVEJOY,LOVEJOY,37,4,4003,37,4,4004,District E,003700,36029003700,360290002004,360290002004003
09-1380053,05/18/2009 02:15:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Monday,1 Block BEITER WK,Buffalo,NY,POINT (-78.8 42.931),42.931,-78.8,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,44.02,1,1003,44.02,1,1000,District E,004402,36029004402,360290001101,360290035021003
07-3250239,11/21/2007 09:03:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Wednesday,400 Block JEFFERSON AV,Buffalo,NY,POINT (-78.854 42.886),42.886,-78.854,,,14204,Broadway Fillmore,ELLICOTT,ELLICOTT,15,3,3007,15,2,2011,District C,001500,36029001500,360290001103,360290024003007
06-1730080,06/22/2006 01:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Thursday,VERMONT ST & 16TH ST,Buffalo,NY,POINT (-78.886 42.909),42.909,-78.886,,,14213,West Side,NIAGARA,NIAGARA,67.01,1,1008,67.01,2,2006,District B,006701,36029006701,360290001101,360290002001008
09-2820885,10/09/2009 08:18:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Friday,200 Block MINNESOTA AV,Buffalo,NY,POINT (-78.822 42.946),42.946,-78.822,10/11/2009 01:00:00 AM,,14214,University Heights,UNIVERSITY,UNIVERSITY,47.02,2,2005,47,4,4005,District E,004702,36029004702,360290001102,360290011002005
11-1480716,05/28/2011 04:44:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Saturday,1 Block MARYNER HOMES ST,Buffalo,NY,POINT (-78.891 42.892),42.892,-78.891,10/10/2019 07:18:00 PM,,14201,Lower West Side,NIAGARA,ELLICOTT,71.04,4,4001,71.01,2,2003,District B,007104,36029007104,360290002004,360290034004001
10-0050304,01/05/2010 12:45:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Tuesday,200 Block SCOTT ST,Buffalo,NY,POINT (-78.868 42.876),42.876,-78.868,,,14204,Ellicott,ELLICOTT,FILLMORE,164,1,1000,164,1,1001,District A,016400,36029016400,360290001101,360290035021000
07-1030806,04/13/2007 09:48:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Friday,SUSSEX ST & DEERFIELD AV,Buffalo,NY,POINT (-78.827 42.927),42.927,-78.827,,,14215,Delavan Grider,MASTEN,MASTEN,170,2,2015,170,2,2018,District E,017000,36029017000,360290001102,360290170002015
09-2980166,10/25/2009 03:34:00 AM,,MURDER,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,400 BLOCK GRIDER,Buffalo,NY,POINT (-78.814 42.939),42.939,-78.814,10/26/2009 01:00:00 AM,,14215,Kensington-Bailey,MASTEN,MASTEN,42,1,1004,42,1,1004,District E,004200,36029004200,360290001101,360290055001004
07-3410539,12/07/2007 04:33:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Friday,2500 Block BAILEY AV,Buffalo,NY,POINT (-78.813 42.925),42.925,-78.813,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,41,3,3004,41,3,3004,District E,004100,36029004100,360290001103,360290001103004
06-3320678,11/28/2006 05:34:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Tuesday,100 Block PENNSYLVANIA ST,Buffalo,NY,POINT (-78.892 42.897),42.897,-78.892,,,14201,West Side,NIAGARA,ELLICOTT,70,2,2017,70,2,2019,District B,007000,36029007000,360290001102,360290165002017
07-3300095,11/26/2007 06:01:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,6,Monday,1 Block FRANKLIN ST,Buffalo,NY,POINT (-78.861 42.914),42.914,-78.861,,,14209,Masten Park,MASTEN,MASTEN,168.02,2,2007,168,4,4007,District E,016802,36029016802,360290001102,360290163002007
11-1780461,06/27/2011 02:06:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,14,Monday,2400 Block DELAWARE AV,Buffalo,NY,POINT (-78.869 42.951),42.951,-78.869,,,14216,North Park,NORTH,NORTH,50,1,1000,50,1,1000,District D,005000,36029005000,360290001101,360290035021000
10-1230035,05/03/2010 01:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Monday,500 Block BUSTI AV,Buffalo,NY,POINT (-78.894 42.899),42.899,-78.894,,,14201,West Side,NIAGARA,ELLICOTT,70,2,2010,70,2,2012,District B,007000,36029007000,360290001102,360290033022010
10-0440932,02/13/2010 11:51:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Saturday,2200 Block GENESEE ST,Buffalo,NY,POINT (-78.802 42.918),42.918,-78.802,,,14211,Schiller Park,LOVEJOY,LOVEJOY,38,2,2002,38,2,2002,District E,003800,36029003800,360290001102,360290035022002
09-0090519,01/09/2009 04:19:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,16,Friday,100 Block VERMONT ST,Buffalo,NY,POINT (-78.893 42.906),42.906,-78.893,,,14213,West Side,NIAGARA,NIAGARA,70,3,3000,70,3,3000,District B,007000,36029007000,360290001103,360290167003000
12-0620074,03/02/2012 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Friday,FILLMORE AV & VICTORIA AV,Buffalo,NY,POINT (-78.839 42.935),42.935,-78.839,,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.02,1,1000,40.01,4,4000,District E,004002,36029004002,360290001101,360290035021000
07-1490251,05/29/2007 09:38:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,9,Tuesday,1 Block MOHR ST,Buffalo,NY,POINT (-78.827 42.893),42.893,-78.827,,,14212,Broadway Fillmore,FILLMORE,FILLMORE,16.01,1,1019,16,2,2002,District C,001601,36029001601,360290001101,360290165001019
07-3010214,10/28/2007 03:45:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,FILLMORE AV & VICTORIA AV,Buffalo,NY,POINT (-78.839 42.935),42.935,-78.839,,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.02,1,1000,40.01,4,4000,District E,004002,36029004002,360290001101,360290035021000
06-0384520,04/07/2006 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Friday,400 Block GRIDER ST,Buffalo,NY,POINT (-78.832 42.926),42.926,-78.832,,,14215,Delavan Grider,MASTEN,MASTEN,170,3,3001,170,2,2002,District E,017000,36029017000,360290001103,360290071043001
11-1650835,06/14/2011 08:09:00 AM,,MURDER,Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,8,Tuesday,200 Block ROSLYN ST,Buffalo,NY,,UNKNOWN,UNKNOWN,,,14215,UNKNOWN,UNIVERSITY,UNIVERSITY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10-3300105,11/26/2010 03:44:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Friday,200 Block NIAGARA ST,Buffalo,NY,POINT (-78.882 42.89),42.89,-78.882,,,14201,Lower West Side,FILLMORE,FILLMORE,71.02,1,1004,71.02,1,1006,District B,007102,36029007102,360290001101,360290055001004
11-3160083,11/12/2011 02:30:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,2,Saturday,KENSINGTON AV & FILLMORE AV,Buffalo,NY,POINT (-78.822 42.944),42.944,-78.822,11/13/2011 07:00:00 AM,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.02,2,2009,47,4,4008,District E,004702,36029004702,360290001102,360290045002009
07-2501105,09/07/2007 09:11:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Friday,1300 Block E DELAVAN AV,Buffalo,NY,POINT (-78.807 42.923),42.923,-78.807,,,14215,Schiller Park,UNIVERSITY,UNIVERSITY,37,1,1001,37,1,1001,District E,003700,36029003700,360290001101,360290019001001
06-2280310,08/16/2006 10:26:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Wednesday,GENESEE ST & CROSSMAN ST,Buffalo,NY,POINT (-78.803 42.917),42.917,-78.803,,,14211,Schiller Park,LOVEJOY,LOVEJOY,38,2,2003,38,2,2003,District E,003800,36029003800,360290001102,360290170002003
06-2760926,10/03/2006 09:50:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Tuesday,1 Block HAGEN ST,Buffalo,NY,POINT (-78.808 42.916),42.916,-78.808,,,14211,Schiller Park,LOVEJOY,LOVEJOY,37,4,4005,37,4,4007,District E,003700,36029003700,360290002004,360290002004005
10-0910332,04/01/2010 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Thursday,1400 Block FILLMORE AV,Buffalo,NY,POINT (-78.839 42.913),42.913,-78.839,,,14211,MLK Park,MASTEN,MASTEN,35.02,1,1001,35,2,2001,District C,003502,36029003502,360290001101,360290019001001
09-0890625,03/30/2009 07:14:00 PM,,MANSLAUGHTER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Monday,200 Block CEDAR ST,Buffalo,NY,POINT (-78.862 42.887),42.887,-78.862,,,14204,Pratt-Willert,ELLICOTT,ELLICOTT,14.04,2,2007,14.02,4,4008,District B,001404,36029001404,360290001102,360290163002007
06-1641134,06/13/2006 10:50:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Tuesday,EDISON AV & OAKMONT,Buffalo,NY,POINT (-78.802 42.932),42.932,-78.802,,,14215,Kenfield,UNIVERSITY,UNIVERSITY,44.02,1,1003,44.02,1,1001,District E,004402,36029004402,360290001101,360290035021003
06-0300480,01/30/2006 03:05:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,15,Monday,1 Block W CLEVELAND DR,Buffalo,NY,POINT (-78.8 42.942),42.942,-78.8,,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,44.01,4,4001,44.01,4,4001,District E,004401,36029004401,360290002004,360290034004001
10-1160208,04/26/2010 10:02:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Monday,500 Block GOODYEAR AV,Buffalo,NY,POINT (-78.823 42.91),42.91,-78.823,,,14211,Genesee-Moselle,ELLICOTT,FILLMORE,36,2,2001,36,3,3006,District C,003600,36029003600,360290001102,360290033022001
10-3330788,11/29/2010 07:56:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Monday,900 Block KENSINGTON AV,Buffalo,NY,POINT (-78.818 42.936),42.936,-78.818,,,14215,Kensington-Bailey,MASTEN,MASTEN,42,5,5007,42,5,5007,District E,004200,36029004200,360290007005,360290034005007
07-2341023,08/22/2007 10:31:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Wednesday,E FERRY ST & DONOVAN DR,Buffalo,NY,POINT (-78.827 42.914),42.914,-78.827,,,14211,MLK Park,MASTEN,MASTEN,35.01,2,2001,35,3,3001,District C,003501,36029003501,360290001102,360290033022001
10-1560454,06/05/2010 11:38:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,11,Saturday,1 Block 19TH ST,Buffalo,NY,POINT (-78.886 42.913),42.913,-78.886,,,14213,Elmwood Bryant,NIAGARA,NIAGARA,66.01,3,3003,66.01,3,3003,District B,006601,36029006601,360290001103,360290054003003
10-1770074,06/26/2010 01:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Saturday,BARTON ST & AUBURN AV,Buffalo,NY,POINT (-78.894 42.918),42.918,-78.894,,,14213,Upper West Side,NIAGARA,NIAGARA,61,5,5004,61,5,5004,District D,006100,36029006100,360290007005,360290034005004
09-2030994,07/22/2009 08:18:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,20,Wednesday,800 Block E DELAVAN AV,Buffalo,NY,POINT (-78.824 42.922),42.922,-78.824,,,14215,Genesee-Moselle,MASTEN,MASTEN,36,4,4003,36,2,2002,District E,003600,36029003600,360290002004,360290002004003
08-3240922,11/19/2008 11:13:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Wednesday,200 Block BERKSHIRE AV,Buffalo,NY,POINT (-78.815 42.941),42.941,-78.815,,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.01,2,2004,47,3,3004,District E,004701,36029004701,360290001102,360290165002004
10-1640057,06/13/2010 12:45:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Sunday,1000 Block CLINTON ST,Buffalo,NY,POINT (-78.836 42.879),42.879,-78.836,,,14206,Broadway Fillmore,FILLMORE,FILLMORE,17,1,1017,17,1,1019,District C,001700,36029001700,360290001101,360290165001017
06-3030545,10/30/2006 03:34:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,15,Monday,300 Block 15 ST,Buffalo,NY,POINT (-78.891 42.913),42.913,-78.891,,,14213,West Side,NIAGARA,NIAGARA,69.01,1,1001,69.01,1,1001,District B,006901,36029006901,360290001101,360290019001001
