Case Number,Incident Datetime,Incident ID,Incident Type Primary,Incident Description,Parent Incident Type,Hour of Day,Day of Week,Address,City,State,Location,Latitude,Longitude,Created At,updated_at,zip_code,neighborhood,Council District,Council District 2011,Census Tract,Census Block Group,Census Block,2010 Census Tract ,2010 Census Block Group,2010 Census Block,Police District,TRACTCE20,GEOID20_tract,GEOID20_blockgroup,GEOID20_block
21-1611140,06/10/2021 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Thursday,300 Block GRIDER ST,Buffalo,NY,POINT (-78.829 42.924),42.924,-78.829,,,14215,Delavan Grider,MASTEN,MASTEN,170,2,2017,170,2,2010,District E,017000,36029017000,360290170002,360290170002017
20-2510845,09/07/2020 10:24:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,22,Monday,E DELAVAN AV & CAMBRIDGE AV,Buffalo,NY,POINT (-78.823 42.923),42.923,-78.823,,,14215,Delavan Grider,MASTEN,MASTEN,170,1,1007,170,1,1010,District E,017000,36029017000,360290001101,360290025021007
20-3150293,11/10/2020 11:13:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,11,Tuesday,200 Block ONEIDA ST,Buffalo,NY,POINT (-78.841 42.882),42.882,-78.841,11/10/2020 11:14:00 AM,,14206,Broadway Fillmore,FILLMORE,FILLMORE,17,2,2007,17,2,2004,District C,001700,36029001700,360290001102,360290163002007
20-3050953,10/31/2020 11:49:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,23,Saturday,BICKFORD AV & ALICE AV,Buffalo,NY,POINT (-78.809 42.939),42.939,-78.809,10/31/2020 11:49:00 PM,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,43,6,6006,43,6,6006,District E,004300,36029004300,360290043006,360290045006006
20-1220223,05/01/2020 10:02:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,10,Friday,2100 Block ELMWOOD AV,Buffalo,NY,POINT (-78.878 42.954),42.954,-78.878,,,14216,North Park,NORTH,NORTH,50,3,3005,50,3,3010,District D,005000,36029005000,360290001103,360290034003005
20-1030446,04/12/2020 05:00:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,17,Sunday,100 Block STOCKBRIDGE AV,Buffalo,NY,POINT (-78.821 42.941),42.941,-78.821,,,14215,University Heights,UNIVERSITY,UNIVERSITY,47.01,2,2005,47,3,3005,District E,004701,36029004701,360290001102,360290011002005
20-2600079,09/16/2020 03:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Wednesday,100 Block PERSON ST,Buffalo,NY,POINT (-78.825 42.894),42.894,-78.825,,,14212,Lovejoy,FILLMORE,FILLMORE,24,5,5007,24,2,2006,District C,002400,36029002400,360290007005,360290034005007
21-1690343,06/18/2021 11:16:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,11,Friday,0 Block HOBART ST,Buffalo,NY,POINT (-78.825 42.873),42.873,-78.825,,,14206,Seneca Babcock,FILLMORE,FILLMORE,163,2,2012,163,2,2007,District A,016300,36029016300,360290163002,360290163002012
21-3140558,11/10/2021 12:00:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,15,Wednesday,0 Block LOWER EAST LA,Buffalo,NY,POINT (-78.898 42.955),42.955,-78.898,11/10/2021 03:19:00 PM,,14207,Riverside,NORTH,NORTH,57,1,1002,57,1,1002,District D,005700,36029005700,360290057001,360290057001002
22-2470140,09/04/2022 03:21:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,3,Sunday,200 Block COIT ST,Buffalo,NY,POINT (-78.843 42.891),42.891,-78.843,,,14212,Broadway Fillmore,FILLMORE,FILLMORE,16.02,1,1007,16,1,1003,District C,001602,36029001602,360290016021,360290016021007
20-3100884,11/05/2020 09:53:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,21,Thursday,100 Block BAILEY AV,Buffalo,NY,POINT (-78.825 42.86),42.86,-78.825,11/05/2020 09:53:00 PM,,14220,Hopkins-Tifft,SOUTH,LOVEJOY,2,1,1000,2,1,1000,District A,000200,36029000200,360290001101,360290035021000
22-3140231,11/10/2022 08:44:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,8,Thursday,100 Block PENNSYLVANIA ST,Buffalo,NY,POINT (-78.891 42.897),42.897,-78.891,11/10/2022 08:44:00 AM,,14201,West Side,NIAGARA,ELLICOTT,70,2,2016,UNKNOWN,UNKNOWN,UNKNOWN,District B,007000,36029007000,360290070002,360290070002016
20-3380036,12/03/2020 01:08:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,1,Thursday,800 Block AMHERST ST,Buffalo,NY,POINT (-78.81 42.941),42.941,-78.81,12/03/2020 01:08:00 AM,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,43,6,6003,43,6,6003,District E,004300,36029004300,360290043006,360290045006003
21-0960793,04/06/2021 07:30:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,19,Tuesday,100 Block WAKEFIELD AV,Buffalo,NY,POINT (-78.834 42.935),42.935,-78.834,,,14214,Fillmore-Leroy,MASTEN,MASTEN,40.03,3,3008,40.01,3,3008,District E,004003,36029004003,360290040033,360290040033008
22-1770029,06/26/2022 12:23:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,0,Sunday,SPAULDING ST & DURANT ST,Buffalo,NY,POINT (-78.828 42.854),42.854,-78.828,,,14220,Hopkins-Tifft,LOVEJOY,LOVEJOY,2,4,4005,2,4,4006,District A,000200,36029000200,360290002004,360290002004005
20-1880182,07/06/2020 06:31:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,6,Monday,300 Block ADAMS ST,Buffalo,NY,POINT (-78.851 42.891),42.891,-78.851,,,14212,Broadway Fillmore,ELLICOTT,ELLICOTT,166,4,4016,166,4,4014,District C,016600,36029016600,360290002004,360290166004016
21-1750128,06/24/2021 05:07:00 AM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,5,Thursday,100 Block ASHLEY ST,Buffalo,NY,POINT (-78.825 42.894),42.894,-78.825,,,14212,Lovejoy,FILLMORE,FILLMORE,24,5,5006,24,1,1009,District C,002400,36029002400,360290024005,360290024005006
20-2160305,08/03/2020 12:01:00 PM,,MURDER,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,Homicide,12,Monday,0 Block ALICE AV,Buffalo,NY,POINT (-78.808 42.939),42.939,-78.808,,,14215,Kensington-Bailey,UNIVERSITY,UNIVERSITY,44.01,1,1004,44.01,1,1005,District E,004401,36029004401,360290001101,360290055001004
